"metric","rmse","mae","r2","offline","online"
"acosine",0.98235074207543,0.780303701870265,0.236629911504981,0,0.501185250282288
"acosine",0.983860017926973,0.781710196338128,0.234282497141423,0,0.501506352424622
"acosine",0.985129584264606,0.782921057193615,0.232304634208943,0,0.518624424934387
"acosine",0.986323295180415,0.784003814122442,0.230443190084439,0,0.492718076705933
"acosine",0.987430592930455,0.78502006563309,0.228714309955169,0,0.508233165740967
"acosine",0.988419564239187,0.785927507835836,0.227168370299517,0,0.497057223320007
"acosine",0.989310973107751,0.786750298148824,0.225773823558577,0,0.499136066436768
"acosine",0.990030021002434,0.787393367364142,0.224648009817451,0,0.507399463653564
"acosine",0.9906855962962,0.787991520188388,0.22362085007151,0,0.508922505378723
"acosine",0.991264621130098,0.78851531931976,0.222713223219631,0,0.512868475914001
"acosine",0.991765096633915,0.789002892671292,0.221928150956869,0,0.520758509635925
"acosine",0.992199438962947,0.789422928576602,0.221246617304835,0,0.515644764900207
"acosine",0.992587014348359,0.789790536097939,0.220638334240962,0,0.516659140586853
"acosine",0.992895582038649,0.79010343553785,0.220153799177618,0,0.500458312034607
"acosine",0.993143143906112,0.790357958024946,0.219764855660309,0,0.515412592887878
"acosine",0.993389232616683,0.790609280704626,0.219378216994586,0,0.508281230926514
"acosine",0.9936043372504,0.79083046326837,0.219040164723197,0,0.523658585548401
"pcc",1.02552998925931,0.813507213341661,0.168036891104807,25.292906999588,0.453563094139099
"pcc",1.00716702184322,0.799912339248095,0.197569951893798,25.036906003952,0.428844475746155
"pcc",1.00358427066223,0.797572092903754,0.203272004708437,25.0993499755859,0.440529584884644
"pcc",1.00249829554904,0.797166062717971,0.204994908016767,25.3224930763245,0.442336511611938
"pcc",1.00277141479801,0.797692265324637,0.204562520311482,25.8661270141602,0.461514210700989
"pcc",1.00347846070537,0.798347503957564,0.203440158790199,25.1853189468384,0.460210967063904
"pcc",1.00456044608542,0.799308761955509,0.201720798412477,25.3609490394592,0.468445205688477
"pcc",1.00535511139954,0.800152374237168,0.200457742846842,25.3045318126678,0.45903537273407
"pcc",1.00620977375182,0.801064780115163,0.19909789427597,25.0263149738312,0.46885941028595
"pcc",1.00710058770275,0.801915817914815,0.197678354947175,25.9235858917236,0.489619660377502
"pcc",1.0079985313547,0.802785024382009,0.196247639099977,0,0.528950333595276
"pcc",1.00874884030035,0.803528137008367,0.195050487740187,0,0.479484343528748
"pcc",1.00936976527566,0.804112557581918,0.194059731799249,0,0.480539393424988
"pcc",1.01002952557074,0.804739447567728,0.193005734175478,0,0.479139876365662
"pcc",1.01063576064444,0.805337752951589,0.192036468686455,0,0.484957695007324
"pcc",1.01115118157947,0.80580781751415,0.191212185070179,0,0.485387635231018
"pcc",1.01157420703325,0.806202744555314,0.190535222415682,0,0.48883740901947
"pcc",1.01199665806473,0.806607093796554,0.189859566545928,0,0.490335321426392
"pcc",1.01240159947058,0.80698406399075,0.1892109766589,0,0.48943190574646
"pcc",1.01271286137333,0.807276719969153,0.188712296642311,0,0.50820300579071
"pcc",1.01300592978427,0.807565364224078,0.188242840918764,0,0.533043050765991
"pcc",1.01321901060027,0.807783960522701,0.187901349819964,0,0.512006807327271
"pcc",1.0134593288848,0.808021107270397,0.187516122719854,0,0.494952869415283
"pcc",1.01366069463159,0.808232146449886,0.187193397955952,0,0.496443605422974
"pcc",1.01384616409233,0.808431894388355,0.186895989587778,0,0.492648792266846
"pcc",1.0139961893453,0.8085928706422,0.18665542870552,0,0.499859499931335
"pcc",1.01414944180101,0.808761963814466,0.186409585433476,0,0.504865002632141
"pcc",1.01425669164098,0.80887855906412,0.186237502451018,0,0.502041792869568
"pcc",1.01437335245966,0.808993979734749,0.186050542265046,0,0.514036750793457
"pcc",1.01446470537974,0.809076014029977,0.185903966704746,0,0.524686408042908
"euclidean",1.01518906543563,0.793136974457961,0.184720936597038,1.68366193771362,0.45594654083252
