"beta","rmse","mae","r2","offline","online"
4.2,0.102693219687699,0.0810754184437047,0.0180514766230899,0,0.049892566204071
4.2,0.10267289116586,0.0810612087061379,0.0180729241566787,0,0.0507125568389893
4.2,0.102656654846351,0.0810495567842507,0.0180901903068984,0,0.051549859046936
4.2,0.102643038588077,0.081040975394128,0.0181048196984812,0,0.0510648369789124
4.2,0.102632059115588,0.0810336830423115,0.01811645280718,0,0.0511243915557861
4.2,0.102623062369862,0.0810278246964739,0.0181259068913718,0,0.0514533066749573
4.2,0.102616343012883,0.0810234560910949,0.0181326829705716,0,0.051774959564209
4.2,0.102611238233135,0.0810193564986284,0.0181377910981769,0,0.0517999148368835
4.2,0.102608034950184,0.081016642804925,0.0181408536524225,0,0.0514003872871399
4.2,0.102605129261064,0.0810140513033595,0.0181438589576728,0,0.0518260765075684
4.2,0.102603224202811,0.0810124040552943,0.0181457814243852,0,0.0522100162506103
4.2,0.102602159584347,0.0810115293637802,0.0181467117548269,0,0.0522799634933472
4.2,0.102601486974762,0.0810111844314843,0.0181472942064685,0,0.0519002151489258
4.2,0.102601334585952,0.0810112955431983,0.0181473484433358,0,0.0520523715019226
4.2,0.10260112807473,0.0810112566365798,0.0181474902851661,0,0.052994749546051
