"metric","rmse","mae","r2","offline","online"
"acosine",0.973202281700713,0.769560763393682,0.25276769189913,23.8031368255615,0.443424415588379
"acosine",0.976117074493571,0.77227096045904,0.248261599810346,23.8067779541016,0.448481297492981
"acosine",0.9785712854548,0.774705625746145,0.244456362646653,23.7984430789948,0.457100033760071
"acosine",0.980828096248684,0.776876738347092,0.240952722135102,0,0.449101114273071
"acosine",0.982880602748122,0.778865065725176,0.237764287133477,0,0.459851574897766
"acosine",0.984724315467971,0.780599137606511,0.234899676118604,0,0.465660786628723
"acosine",0.986421986925233,0.782205084377729,0.232258037529138,0,0.460873413085937
"acosine",0.987945135571662,0.783638613346386,0.229893273436621,0,0.467448806762695
"acosine",0.989264458150073,0.784854421427851,0.227840525067537,0,0.476587295532227
"acosine",0.990420780952454,0.785926973561912,0.226043850850409,0,0.474599409103394
"acosine",0.991517442314585,0.786936408759896,0.224340435393639,0,0.462265872955322
"acosine",0.992506796858857,0.78784524012359,0.222805087393054,0,0.46843843460083
"acosine",0.993370807151089,0.788654735452659,0.221465649620796,0,0.467960357666016
"acosine",0.994088712882286,0.789304997756293,0.220352422293271,0,0.463725399971008
"acosine",0.994677885332453,0.789837767806076,0.219438230876041,0,0.469207978248596
"acosine",0.995234073014008,0.790349143986746,0.218576171511888,0,0.47201075553894
"acosine",0.995725013679615,0.790816659642523,0.217815800350577,0,0.474965572357178
"acosine",0.996167825743831,0.791254329080117,0.21713079673974,0,0.47914183139801
"acosine",0.99653799816396,0.791614839641702,0.216557458649583,0,0.478189730644226
"acosine",0.996853448936234,0.791933895154693,0.216069042663593,0,0.491394329071045
"acosine",0.997124759744921,0.792211271061491,0.215649851256411,0,0.480548071861267
"acosine",0.997366608042049,0.792457765041301,0.215276370126443,0,0.486035013198853
"acosine",0.997573761874124,0.792683883898174,0.214956642857879,0,0.490634942054749
"pcc",1.03020175847704,0.815876016678202,0.183595030274719,23.7804620265961,0.414477825164795
"pcc",1.01215504284195,0.802718686727311,0.19972109199575,23.6128091812134,0.420930790901184
"pcc",1.00826910589061,0.800172466086498,0.202932330437559,23.7178239822388,0.426265597343445
"pcc",1.0071397815156,0.799515332513877,0.203493693130973,23.7285389900208,0.427500057220459
"pcc",1.0071840555232,0.799635526853269,0.202811301792384,23.9005970954895,0.440708827972412
"pcc",1.00770930227407,0.800166418072104,0.201654817043775,23.7372269630432,0.440123796463013
"pcc",1.00863201228434,0.801166244484548,0.2000494465237,23.6386289596558,0.448514318466187
"pcc",1.00956063204535,0.802091163232294,0.198477837927453,23.827929019928,0.449316334724426
"pcc",1.01042387490491,0.803046833652178,0.197047455731815,24.0422639846802,0.456206965446472
"pcc",1.0112589632175,0.803885499686108,0.195687002414391,23.5680661201477,0.45386335849762
"pcc",1.01203605443371,0.804642435720857,0.19443641051159,0,0.45693724155426
"pcc",1.01278244985444,0.805384982385672,0.193246254431759,0,0.456751370429993
"pcc",1.01345369580392,0.80601727600385,0.192174040751817,0,0.454335761070251
"pcc",1.01407428784793,0.806628971906809,0.191188769184089,0,0.458316850662231
"pcc",1.01463753435826,0.807182588399617,0.190296502328385,0,0.461634874343872
"pcc",1.01513167125798,0.807709571122094,0.189515607896813,0,0.460654902458191
"pcc",1.01558250809038,0.808154908070069,0.188802043966492,0,0.465787076950073
"pcc",1.01599286659831,0.808547190319495,0.188152386644709,0,0.465162134170532
"pcc",1.01634577036858,0.80889780179071,0.187592079269964,0,0.467693686485291
"pcc",1.01666754105051,0.809205098381545,0.187079490834705,0,0.47642867565155
"pcc",1.01692641390603,0.809438045235236,0.186665706875459,0,0.482035160064697
"pcc",1.01714881342745,0.809671078975064,0.186308509583456,0,0.475250959396362
"pcc",1.01735818740085,0.809897676908908,0.185972450956692,0,0.474851059913635
"pcc",1.01756599249369,0.810104680641467,0.185642733981636,0,0.480845069885254
"pcc",1.0177460473735,0.810290911917467,0.185358454243366,0,0.482013583183289
"pcc",1.01788242671367,0.810444705158204,0.185138848646797,0,0.481320309638977
"pcc",1.01801901104647,0.810597313695025,0.18492283165769,0,0.480913376808166
"pcc",1.01812146763484,0.81070694766546,0.18475954027739,0,0.486084318161011
"pcc",1.01822014867213,0.810813972922021,0.18460385935665,0,0.490073704719543
"pcc",1.01831597992971,0.810909672774885,0.184453829798928,0,0.49522545337677
"jaccard",1.03234077248486,0.82000634148668,0.179453640878164,17.1223549842834,0.415861821174622
"jaccard",1.01788477523919,0.808924963246097,0.191043277590983,17.1534261703491,0.423359274864197
"jaccard",1.01471796578483,0.806422132479031,0.193281138793276,17.1857709884644,0.431869792938232
"jaccard",1.01463506629436,0.806599144568846,0.192393749373855,16.9283840656281,0.436832880973816
"jaccard",1.01468682255227,0.806869614613972,0.191722779663415,17.0178730487823,0.442984652519226
"jaccard",1.01486273799618,0.807168779800686,0.191067793234548,17.13001704216,0.448032069206238
"jaccard",1.01531549228827,0.807566706390869,0.190134154644282,17.206109046936,0.45129599571228
