"predictor","rmse","mae","r2","offline","online"
"mean centred",0.999788127260743,0.794169620652656,0.222747621565052,0,5.61588711738586
"mean centred",0.999121744600168,0.793618234565161,0.223534033729444,0,6.0215817451477
"mean centred",0.998685130113214,0.793193937871122,0.22441912774446,0,5.957177734375
"mean centred",0.998435009574584,0.792915060770665,0.225376943390072,0,6.42712118625641
"mean centred",0.997709448984812,0.792282535905437,0.226669480037114,0,6.64870386123657
"mean centred",0.996892137105801,0.791755250317935,0.228023111488312,0,7.39486556053162
"mean centred",0.996932127932678,0.79178068310977,0.228347119250849,0,7.02549180984497
"mean centred",0.996728256475035,0.791594752000075,0.228847131023296,0,7.22396507263184
"mean centred",0.996771982870827,0.791618673403132,0.22926850149359,0,7.12509920597076
"mean centred",0.996365886516025,0.791131758240221,0.22963062864188,0,7.36918923854828
"mean centred",0.99631352234186,0.791075484656969,0.229726976547641,0,7.41894176006317
"mean centred",0.996172319696725,0.790914357455143,0.230116980926319,0,7.3196768283844
"mean centred",0.996073319578848,0.790740417234933,0.230271658660092,0,7.49861986637115
"mean centred",0.996030853427093,0.790642048567642,0.230230774346859,0,7.31644985675812
"mean centred",0.995955665094057,0.790567094061246,0.230504965341934,0,7.39899697303772
"mean centred",0.995892461942744,0.790420644103602,0.230688376133549,0,7.38923165798187
"mean centred",0.995427670050903,0.79006814231676,0.231384740335697,0,7.36975209712982
"mean centred",0.995252863965466,0.789950434320082,0.23157375836395,0,7.3819993019104
"mean centred",0.995114084030161,0.789838149388387,0.231638619028824,0,7.44037637710571
"mean centred",0.995172912339707,0.789903676335783,0.231698334450649,0,7.59707028865814
"z score",1.03084393523193,0.813865793733293,0.200113497515121,36.7539050579071,6.15146262645721
"z score",1.01299861353271,0.801008901621388,0.213724217591249,51.2221310138702,9.85356650352478
"z score",1.00824403593895,0.797812219715973,0.217168055709665,46.6765429973602,13.5263375043869
"z score",1.00537161918495,0.795827722274048,0.21912117569442,47.4706618785858,16.5741296052933
"z score",1.00380887089796,0.794744997245869,0.220394884400377,34.9657270908356,19.1697523832321
"z score",1.00252362919043,0.793688846185098,0.221498459836401,35.5435559749603,21.4960046768188
"z score",1.00175384229408,0.793227032577442,0.222490787966262,35.8325300216675,23.8044021129608
"z score",1.00124778472924,0.792787809961552,0.223024766473665,34.6958320140839,25.696256518364
"z score",1.00068755430006,0.792321591119562,0.223539868546108,35.1966841220856,27.9898553848267
"z score",1.00014712096606,0.791817316893803,0.224019601782631,35.4683151245117,30.0447324037552
"z score",0.99965623005477,0.791347527737739,0.224308096460683,0,31.9056852817535
"z score",0.998945911615825,0.790777562177843,0.225120867646632,0,33.0428244352341
"z score",0.998461238003589,0.790329638721197,0.226042621723335,0,33.8425997257233
"z score",0.998152333240225,0.790007290435384,0.227051539791206,0,34.7705471515656
"z score",0.997366207645065,0.789309823408645,0.22840013312339,0,36.5654626369476
"z score",0.996534378517818,0.78879585809092,0.229762300017655,0,39.9072204589844
"z score",0.996598468706259,0.788821674058721,0.230040769953165,0,40.8672179698944
"z score",0.996448321270943,0.788697311340283,0.230456982909496,0,41.9041912317276
"z score",0.996452903144732,0.788668905624195,0.230904140500005,0,41.3294162273407
"z score",0.996027952945036,0.788171953495379,0.231275354076442,0,42.444771027565
